Absolutely not.|绝对不是。
It really turns me on.|这令我兴奋。
It smells good.|闻起来很香。
It was love at first sight.|这是一见钟情。
It was my pleasure.|不用谢/这是我的荣幸。
It's about time.|是时候了。
It's all right.|没关系。
It's as simple as that.|就这么简单。
It's none of your business.|不关你的事。
It's not as simple as that.|没那么简单。
It's not bad at all.|一点也不差/相当不错。
It's not weird at all.|一点世不奇怪。
It's different.|那是不同的。
It's easy.|很容易。
It's funny.|很滑稽。
It's good.|很好。
It's good to be home.|还是在家好啊。
It's impossible.|那是不可能的。
It's incredible.|真是难以置信。
It's my first time.|这是我的第一次。
lt's my pleasure to meet you.|很高兴认识你。
It's near here.|离这很近。
It's no big deal.|没什么大不了的。
It's not a big deal!|没什么了不起！
It's not bad.|还行。
It's not difficult.|不难。
It's not worth it.|不值得。
It's not what you think.|这不是你想的那样。
It's nothing.|没什么。
It's obvious.|很明显。
It's so embarrassing.|太尴尬了。
It's the same thing.|还是一样的。
It's time to go.|该走了。
It's time to get up.|该起床了。
It's up to you.|由你決定。
It's urgent.|有急事。
It's your turn.|轮到你了。
Just a hunch.|只是一种预感。直觉而已。
Just a moment.|等一下。
Just a second.|稍等一下。
Keep in touch.|保持联系。
Keep it up.|坚持下去。
Lay it on me.|说来听听。
Let me know.|告诉我。
Let me put it this way.|让我这么说吧。
Let me see.|让我想想。
Let me take that bag for you.|让我帮你拿那个包。
Let's cut to the chase.|我们开门见山吧。
Let's forgive and forget.|让我们原谅和忘记。
Let's get down to business.|我们干正事吧/让我们言归正传。
Let's get started.|我们开始吧。
Let's give it a go.|让我们试一试。
Let's go out for a drink.|我们出去喝一杯吧。
Let's got it.|来吧。
Let's have a break.|让我们休息一下。
Let's split a bill.|让我们AA吧。
Let's stay in touch.|让我们保持联系。
Let's take a break!|我们休息一下吧！
Let's take a look.|让我们看看。
Live in your own way.|以你自己的方式生活。
Look me in the eye.|看着我的眼睛。
Look who's here.|看谁在这里。
Maybe you are right.|也许你是对的。
Make up your mind.|你决定吧/你拿主意。
Me too.|我也一样。
Mind if I sit?|介意我坐下吗？
Mind if I join you?|介意我加入你吗？
My hands are tied.|我无能为力。
My phone is out of battery.|我的手机没电了。
Never heard of the guy.|从来没听说过这个人。
Nice talking to you.|很高兴与你聊天。
No doubt.|毫无疑向。
No hard feelings, okay?|别往心里去，好吗？
No idea.|不知道。
No problem.|没问题。
No war please.|请不要打仗。
No way!|不可能！
No way.|没门。
No wonder.|怪不得。
None of my business.|不关我事。
Not bad at all.|一点也不差/相当不错。
Not gonna happen.|不会发生的/不可能。
Not so bad.|不错。
Not that I know of.|据我所知没有（不是那样）。
Not yet.|还没有。
Nothing special.|没什么特别的。
Please help yourself.|请自便。
Please wear masks.|请戴上口罩。
Pull yourself together.|振作起来。
Relax!|放松。
Same to you.|彼此彼此。
See you tomorrow.|明天见。
She is my best friend.|她是我最好的朋友。
She is so smart.|她真聪明。
She's in here.|她在这里。
She's in love.|她恋爱了。
She's in the bathroom.|她在洗手间。
She's in there.|她在里面/她在那里。
She's in trouble.|她有麻烦了。
Show me.|指给我看。
Slow down.|慢点。
So be it.|就这样吧。
So far so good.|到目前为止，一切都好。
So what?|那又怎样？
Something's come up.|发生了一些事情。
Sounds awful.|听起来很糟糕。
Sounds good.|听起来不错。
Sounds great.|听起来不错。
Speak of the devil.|说曹操曹操到。
Still up?|还没睡吗？
Stay where you are.|待在那别动。
Take a look at this.|看一下这个。
Take a walk.|出去走走。
Take care of yourself.|照顾好自己/保重。
Take it easy.|别紧张。
Take some time.|花点时间/需要时间。
Takes one to know one.|彼此彼此/你也好不到哪里去。
Tell me.|告诉我。
Thank you for everything.|谢谢你的多方关照。
Thank you all for coming.|谢谢光临。
Thank you very much.|多谢。
Thanks for picking me up.|谢谢你来接我。
Thanks for stopping by.|谢谢你过来/谢谢拜访。
Thanks for your hospitality.|谢谢你的盛情款待。
That happens.|这样的事情经常发生。
That's enough.|够了。
That's ridiculous.|这太荒谬了。
That's interesting.|很有趣。
That's no excuse.|这不是借口。
That's not gonna happen.|那不会发生的。
That's not what I meant.|我不是这个意思。
That's not what I said.|我不是这么说的。
That's really something.|那真是了不起！
That's right.|对了。
That's so cool.|那太酷了。
That's so nice of you.|你真是太好。
That's so not true.|那觉不是真的。
That's so sweet.|那太贴心了。
That's the best choice.|这是最好的选择。
That's true.|这是真的。
That's wonderful.|那太棒了。
The rest is up to you.|剩下的就靠你了。
There are too many people here.|这里人很多。
They are so tasty.|它们很好吃。
They like each other.|他们互相倾慕。
Things couldn't be better.|一切顺利。
Think about it.|想想看。
This is a surprise.|这是一个惊喜。
This is easy for you!|这你来说太简单了。
This is horrible.|这太可怕了。
This is so exciting!|这太令人兴奋了！
This is your lucky day.|今天是你的幸运日。
Time to eat.|该吃饭了。
Time to get up.|该起床了。
Time to go.|该出发了。
Time to sleep.|该睡觉了。
Time to study.|该学习了。
Time will tell.|时间证明一切。
To what do I owe the pleasure?|我该高兴什么/什么风把您给吹来了？
Today is a great day.|今天是个好日子。
Too bad.|太糟糕啦。
Try this one.|试试这个。
Watch out!|小心！
Watch out for the slippery floor.|小心地面滑。
Watch your mouth.|管好你的嘴巴。
Wait a minute.|等一下。
Wait a second.|等一下。
Wait for me.|等等我。
Watch your step.|小心脚下。
We are even.|我们扯平了。
We come in peace.|我们和平共处。
We have to go back.|我们必须回去。
We must do something.|我们必须做点儿什么。
We shall see.|我们拭目以待。
We're running out of time.|我们快没时间了。
What a beautiful!|多么美丽啊！
What a coincidence!|真巧啊！
What a joke.|真是个笑话。
What a pity.|真可惜/太遗憾了。
What a shame.|太可惜了。
What a wonderful.|真是太棒了。
What a waste.|真是浪费。
What am I missing?|我错过/漏掉了什么？
What am I supposed to do?|我应该怎么办？
What are you doing today?|你今天要做什么？
What are you good at?|你擅长什么？
What are you gonna do?|你要做什么/你打算怎么办？
What are you talking about?|你在说什么？
What are you up to?|你在忙什么？
What can I do?|我能做什么？
What can I do to help?|我能帮上什么忙？
What could you say?|你能说什么？
What did I do?|我做了什么？
What did I do to you?|我对你做了什么/我哪里招惹你了？
What did you just do?|你刚刚做了什么/你刚干嘛了？
What did you say?|你说什么？
What do you care?|你在乎什么/关你什么事？
What do you got?|你有什么？
What do you have?|你有什么？
What do you like?|你喜欢什么？
What do you mean?|什么意思？
What do you suggest?|你有什么建议？
What do you think?|你认为怎样？
What do you think of her?|你觉得她怎么样？
What do you think of that?|你觉得怎么样？
What do you want?|你想要什么？
What do you want from me?|你想要我怎样？
What do you want me to do?|你想要我做什么？
What do you wanna be when you grow up?|你长大后想做什么？
What does he look like?|他长什么样？
What does he want?|他想要(干)什么？
What happened next?|接下来发生了什么？
What have you got?|你有什么？
What if you're wrong?|如果你错了怎么办？
What is he talking about?|他在说些什么？
What kind of question is that?|那是什么问题/这算什么问题？
What should I do?|我该怎么办？
What terrible weather!|多坏的天气。
What time is it?|几点钟了？
What would you say?|你会说什么？
What you really want to do?|你真正想做什么？
What's going on?|怎么啦？
What's happening?|怎么啦？
What's in there, you never saw it.|里面的东西，你从来没见过。
What's that smell?|这是什么味儿？
What's that supposed to mean?|这话什么意思？
What's the date today?|今天几号？
What's the fuss?|吵什么？
What's the problem?|怎么啦？
What's the rush?|急什么？
What's up?|怎么了？
What's wrong with you/me?|你/我怎么了？
What's your problem?|你有什么问题？
When are you coming back?|你什么时候回来？
When do we get started?|我们什么时候开始？
Where are you going?|你去哪里？
Where are you headed?|你要去哪里？
Where did you grow up?|你在哪里长大的？
Where have I heard that before?|这话我在哪里听过/这话很耳熟。
Where is he?|他在哪里？
Where to next?|接下来去哪里？
Who cares what he thinks?|谁管他怎么想？
Who do you think you are?|你以为你是谁？
Who knows!|天晓得！
Who would do such a thing?|谁会做这样的事？
Why would you say that?|你为什么那么说/何出此言？
Will you be my wife?|你愿意做我的妻子吗？
With all due respect.|恕我直言。
Would you like any more coffee?|你还要咖啡吗？
You can do this.|你可以的。
You can't do this.|你不可以这样。
You did right.|你做的对。
You got it?|你明白了吗？
You got me.|你抓住我了。
You got me there.|你可难倒我了。
You have my respect.|我尊重你。
You know what I'm saying?|你知道我在说什么/你懂我的意思吧？
You make me sick.|你让我恶心。
You promised me.|你答应我了。
You suck.|你糟透了/你太菜了。
You surprise me.|你让我大吃一惊。
You want a piece of me?|你想干架吗？
You will pay for this.|你会为此付出代价的。
You'll get used to it.|你会习惯的。
You're amazing.|你太棒了。
You're a coward.|你是个懦夫。
You're a fool.|你是个傻子。
You're always right.|你总是对的。
You're cheesy.|你太俗气了。
You're clever.|你很聪明。
You're crazy.|你疯了。
You're doing great.|你做的很好。
You're freaking me out.|你吓死我了。
You're fucking awesome.|你他妈的太牛逼了。
You're good.|你很好。
You're great.|你很棒。
You're impatient.|你太性急了。
You're in a bad mood.|你的心情不好。
You're lying.|你在撒谎。
You're missing the point.|你没抓住重点。
You're nice.|你很好。
You're not sincere enough.|你太不够意思了。
You're on the clock.|你很准时。
You're on your own.|你得靠自己了。
You're one to talk.|你还好意思说。
You're probably right.|你可能是对的。
You're right.|你是对的。
You're so awesome.|你太牛逼了。
You're so beautiful.|你太漂亮了。
You're so clever.|你太聪明了。
You're so corny.|你太老套了。
You're so cute.|你真可爱。
You're so lucky.|你真幸运。
You're so smart.|你太聪明了。
You're so stupid.|你太笨了。
You're the best.|你是最棒的。
You're very funny.|你可真逗。
You're welcome.|别客气。
You're wrong.|你错了。
You've been a great help.|你帮了大忙。
You've got it.|你已经做到了。
You've got this in the bag!|对你来说小意思！
You've reached your destination.|你已经到达目的地了。
You've reached your limit.|你已经达到了极限。
You've received a message.|您已收到一条消息。
